area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;016202;002;07;1;2;1;2;2;2;2;3;3;010150016202;01015001620200207;010150016202002071;2712;126,082410358227;202201
1;10150;016704;002;01;1;2;2;2;2;2;3;2;3;010150016704;01015001670400201;010150016704002011;2713;92,1443114538833;202201
1;10150;016704;002;02;1;2;2;2;2;2;2;2;2;010150016704;01015001670400202;010150016704002021;2713;92,1443114538833;202201
1;10150;016704;002;03;1;2;2;2;2;3;3;2;3;010150016704;01015001670400203;010150016704002031;2713;92,1443114538833;202201
1;10150;016704;002;04;1;2;1;2;2;2;3;3;3;010150016704;01015001670400204;010150016704002041;2713;92,1443114538833;202201
1;10150;016704;002;05;1;2;1;2;2;3;2;2;1;010150016704;01015001670400205;010150016704002051;2713;92,1443114538833;202201
1;10150;016704;002;06;1;2;2;3;3;3;3;3;3;010150016704;01015001670400206;010150016704002061;2713;92,1443114538833;202201
1;10150;016704;002;07;1;2;2;2;2;3;2;3;2;010150016704;01015001670400207;010150016704002071;2713;92,1443114538833;202201
1;10150;016903;001;01;1;2;2;2;2;3;2;3;2;010150016903;01015001690300101;010150016903001011;2712;75,4300354169568;202201
1;10150;016903;001;02;1;3;2;1;2;1;2;3;2;010150016903;01015001690300102;010150016903001021;2712;75,4300354169568;202201
1;10150;016903;001;04;1;2;2;3;2;1;2;3;2;010150016903;01015001690300104;010150016903001041;2712;75,4300354169568;202201
1;10150;016903;001;05;1;1;2;2;2;2;2;2;2;010150016903;01015001690300105;010150016903001051;2712;75,4300354169568;202201
1;10150;016903;001;07;1;3;2;1;2;3;2;3;2;010150016903;01015001690300107;010150016903001071;2712;75,4300354169568;202201
1;10150;016903;001;08;1;2;2;3;2;3;2;3;2;010150016903;01015001690300108;010150016903001081;2712;75,4300354169568;202201
1;10150;016903;001;10;1;2;2;2;1;3;3;3;2;010150016903;01015001690300110;010150016903001101;2712;75,4300354169568;202201
1;10150;019102;001;01;1;2;2;1;2;3;3;3;3;010150019102;01015001910200101;010150019102001011;2713;263,243129026226;202201
1;10150;019102;001;02;1;2;2;2;2;3;2;3;3;010150019102;01015001910200102;010150019102001021;2713;263,243129026226;202201
1;10150;019102;001;03;1;2;2;2;2;3;3;3;3;010150019102;01015001910200103;010150019102001031;2713;263,243129026226;202201
1;10150;019102;001;04;1;2;2;2;2;3;3;3;3;010150019102;01015001910200104;010150019102001041;2713;263,243129026226;202201
1;10150;019102;001;05;1;2;2;2;2;3;3;2;3;010150019102;01015001910200105;010150019102001051;2713;263,243129026226;202201
1;10150;019102;001;06;1;3;3;1;2;3;3;3;3;010150019102;01015001910200106;010150019102001061;2713;263,243129026226;202201
1;10150;019102;001;07;1;2;2;1;3;2;2;3;2;010150019102;01015001910200107;010150019102001071;2713;263,243129026226;202201
1;10150;019302;025;01;1;2;2;2;2;3;2;3;3;010150019302;01015001930202501;010150019302025011;2711;223,479747296302;202201
1;10150;019302;025;02;1;3;2;1;2;2;3;3;2;010150019302;01015001930202502;010150019302025021;2711;223,479747296302;202201
1;10150;019302;025;05;1;2;3;2;2;3;3;3;3;010150019302;01015001930202505;010150019302025051;2711;223,479747296302;202201
1;10150;019302;025;06;1;1;2;2;2;3;3;3;3;010150019302;01015001930202506;010150019302025061;2711;223,479747296302;202201
1;10150;019302;025;07;1;2;2;2;2;3;3;3;3;010150019302;01015001930202507;010150019302025071;2711;223,479747296302;202201
1;10150;019302;025;10;1;2;2;2;2;2;3;3;3;010150019302;01015001930202510;010150019302025101;2711;223,479747296302;202201
1;10150;019801;002;01;1;3;2;2;2;2;2;2;2;010150019801;01015001980100201;010150019801002011;2711;87,7014079640218;202201
1;10150;019801;002;02;1;3;2;2;1;3;3;2;3;010150019801;01015001980100202;010150019801002021;2711;87,7014079640218;202201
1;10150;019801;002;03;1;3;1;2;2;3;1;2;2;010150019801;01015001980100203;010150019801002031;2711;87,7014079640218;202201
1;10150;019801;002;04;1;2;2;2;2;2;2;2;2;010150019801;01015001980100204;010150019801002041;2711;87,7014079640218;202201
1;10150;019801;002;05;1;3;2;1;2;3;3;2;2;010150019801;01015001980100205;010150019801002051;2711;87,7014079640218;202201
1;10150;019801;002;06;1;2;3;1;2;2;1;2;3;010150019801;01015001980100206;010150019801002061;2711;87,7014079640218;202201
1;10150;019801;002;07;1;3;2;2;1;3;3;3;2;010150019801;01015001980100207;010150019801002071;2711;87,7014079640218;202201
1;10150;019903;001;01;1;2;2;1;2;2;3;2;2;010150019903;01015001990300101;010150019903001011;2712;108,206278201842;202201
1;10150;019903;001;02;1;2;3;1;1;3;3;3;2;010150019903;01015001990300102;010150019903001021;2712;108,206278201842;202201
1;10150;019903;001;05;1;3;2;2;2;2;2;2;2;010150019903;01015001990300105;010150019903001051;2712;108,206278201842;202201
1;10150;019903;001;06;1;3;2;2;2;3;3;2;2;010150019903;01015001990300106;010150019903001061;2712;108,206278201842;202201
1;10150;019903;001;07;1;2;2;1;2;2;2;2;2;010150019903;01015001990300107;010150019903001071;2712;108,206278201842;202201
1;10150;019903;001;09;1;2;3;1;2;2;2;2;2;010150019903;01015001990300109;010150019903001091;2712;108,206278201842;202201
1;10150;020502;029;02;1;3;3;1;2;1;1;3;3;010150020502;01015002050202902;010150020502029021;2712;71,6568621598384;202201
1;10150;020502;029;03;1;2;2;2;2;2;2;1;3;010150020502;01015002050202903;010150020502029031;2712;71,6568621598384;202201
1;10150;020502;029;04;1;2;2;1;2;2;2;2;3;010150020502;01015002050202904;010150020502029041;2712;71,6568621598384;202201
1;10150;020502;029;05;1;2;3;2;2;2;2;3;3;010150020502;01015002050202905;010150020502029051;2712;71,6568621598384;202201
1;10150;020502;029;06;1;1;1;1;3;2;2;2;2;010150020502;01015002050202906;010150020502029061;2712;71,6568621598384;202201
1;10150;020502;029;09;1;2;2;2;2;3;2;2;2;010150020502;01015002050202909;010150020502029091;2712;71,6568621598384;202201
1;10150;020502;029;10;1;2;2;2;1;2;2;3;3;010150020502;01015002050202910;010150020502029101;2712;71,6568621598384;202201
