CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
20150,GUARANDA,0201,GUARANDA,2,11,21,1,1,1,10,2,1,20150,5, ,1,10.42938227,31.28814681
20150,GUARANDA,0201,GUARANDA,3,8,7,1,1,1,1,2,2,60150,5, ,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,4,1,23,1,1,1,5,1,1,20150,1,2,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,4,8,5,1,1,1,2,2,1,20150,5, ,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,4,10,10,1,1,1,8,2,1,20150,5, ,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,6,3,4,1,1,1,6,2,1,20150,5, ,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,6,5,22,1,1,1,7,2,1,20150,5, ,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,6,7,7,1,1,1,2,2,2,20150,5, ,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,6,8,1,1,1,1,11,2,2,20150,5, ,1,9.994824678,59.968948068
20150,GUARANDA,0201,GUARANDA,6,9,13,1,1,2,1,2,2,60150,1,2,1,9.994824678,9.994824678
20250,CHILLANES,0202,CHILLANES,1,1,8,1,1,1,8,2,1,20250,5, ,1,8.960633672,17.921267344
20250,CHILLANES,0202,CHILLANES,1,1,11,1,1,1,7,2,2,20250,5, ,1,8.960633672,26.881901016
